Person,Week,y,price
1.0,1.0,1,0.878
2.0,1.0,0,0.878
3.0,1.0,2,0.878
4.0,1.0,1,0.878
5.0,1.0,0,0.878
6.0,1.0,1,0.878
7.0,1.0,1,0.878
8.0,1.0,1,0.878
9.0,1.0,1,0.878
10.0,1.0,0,0.878
11.0,1.0,0,0.878
12.0,1.0,1,0.878
13.0,1.0,0,0.878
14.0,1.0,1,0.878
15.0,1.0,1,0.878
16.0,1.0,1,0.878
17.0,1.0,1,0.878
18.0,1.0,0,0.878
19.0,1.0,0,0.878
20.0,1.0,1,0.878
21.0,1.0,1,0.878
22.0,1.0,2,0.878
23.0,1.0,1,0.878
24.0,1.0,0,0.878
25.0,1.0,0,0.878
26.0,1.0,0,0.878
27.0,1.0,2,0.878
28.0,1.0,1,0.878
29.0,1.0,1,0.878
30.0,1.0,2,0.878
31.0,1.0,0,0.878
32.0,1.0,1,0.878
33.0,1.0,1,0.878
34.0,1.0,0,0.878
35.0,1.0,1,0.878
36.0,1.0,0,0.878
37.0,1.0,0,0.878
38.0,1.0,3,0.878
39.0,1.0,0,0.878
40.0,1.0,3,0.878
41.0,1.0,1,0.878
42.0,1.0,1,0.878
43.0,1.0,2,0.878
44.0,1.0,4,0.878
45.0,1.0,0,0.878
46.0,1.0,3,0.878
47.0,1.0,0,0.878
48.0,1.0,0,0.878
49.0,1.0,1,0.878
50.0,1.0,0,0.878
51.0,1.0,0,0.878
52.0,1.0,1,0.878
53.0,1.0,2,0.878
54.0,1.0,2,0.878
55.0,1.0,0,0.878
56.0,1.0,1,0.878
57.0,1.0,0,0.878
58.0,1.0,1,0.878
59.0,1.0,0,0.878
60.0,1.0,4,0.878
61.0,1.0,0,0.878
62.0,1.0,0,0.878
63.0,1.0,3,0.878
64.0,1.0,0,0.878
65.0,1.0,1,0.878
66.0,1.0,1,0.878
67.0,1.0,1,0.878
68.0,1.0,0,0.878
69.0,1.0,0,0.878
70.0,1.0,2,0.878
71.0,1.0,1,0.878
72.0,1.0,1,0.878
73.0,1.0,0,0.878
74.0,1.0,1,0.878
